Condition,Are you a host on Airbnb?,How often do you use Airbnb?,Qualitative Feedback,Pre-Feedback,Post-Feedback,Pre-Feedback Ability,Pre-Feedback Benevolence,Pre-Feedback Integrity,Pre-Feedback Overall Trustworthiness (Holistic),Post-Feedback Ability,Post-Feedback Benevolence,Post-Feedback Integrity,Post-Feedback Overall Quality (Holistic)
1,No,2,"I didn't get any constructive criticism, only that my bio was helpful and good job.","Hello! My name is Dawn and I'm in my late 20s. I like meeting new people as well as travelling, but I always love relaxing at home with my family when I'm done with my travels.  I really enjoy reading, playing video games, and just vegging out in front of the TV. I also really have a passion for cooking(Italian food is a current favorite) and am slowly learning how to knit.  I would like to provide a laid back environment for a relaxing vacation for you.  My wife and I can make sure you have everything you need to relax and focus on your vacation.  With a convinient location only 10 minutes from downtown there is plenty to do and see while you are here.  We can recommend local resturants and other hidden gems.  I would love to meet you and have a chance to make your stay a welcoming and memorable one.","Hello! My name is Dawn and I'm in my late 20s. I like meeting new people as well as travelling, but I always love relaxing at home with my family when I'm done with my travels.  I really enjoy reading, playing video games, and just vegging out in front of the TV. I also really have a passion for cooking(Italian food is a current favorite) and am slowly learning how to knit.  I would like to provide a laid back environment for a relaxing vacation for you.  My wife and I can make sure you have everything you need to relax and focus on your vacation.  With a convinient location only 10 minutes from downtown there is plenty to do and see while you are here.  We can recommend local resturants and other hidden gems.  I would love to meet you and have a chance to make your stay a welcoming and memorable one.",5,5.5,5.5,5.5,5,5.5,5.5,5.5
4,No,2,"I appreciated the feedback, but I felt like too much altering would change the authenticity of my bio. I want my bio to sound personal, not like everyone else's.","My name is Gretchen, and I live with my partner Andy. We've been together for over ten years, and we've shared our home for about five. We live just outside of the city in a single-family home with our dog. We both enjoy gardening, so you can usually find us outside working in the yard during our free time. I enjoy the outdoors so much that I do it for a living- I'm a property and landscape manager. My partner manages the delivery services of a water company. Since we both work fulltime, our freetime can be somewhat limited. We don't vacation often, but we do spend a significant amount of time binge-watching the latest NETFLIX shows and watching movies. Our favorite shows are HOUSE OF CARDS and SIX FEET UNDER. We love cooking meals with one another despite the fact that neither of us are elaborate chefs. We love cooking spicy meals! We have a handful of small lakes nearby that are open to the public, so when it's warm enough, we like to take our canoe out. Andy really enjoys reading, and I like to spend time browsing the internet, catching up on the latest news. We are a laidback couple who appreciates humor, companionship, and affection. If staying in our home, one can expect friendly conversation with a respect for privacy, cleanliness, and a cozy, intimate atmosphere.","My name is Gretchen, and I live with my partner Andy. We've been together for over ten years, and we've shared our home for about five. We live just outside of the city in a single-family home with our dog, embracing the small-town, countryside atmosphere. We both enjoy gardening, so you can usually find us outside working in the yard during our free time. I enjoy the outdoors so much that I do it for a living- I'm a property and landscape manager. My partner manages the delivery services of a water company. Since we both work fulltime, our freetime can be somewhat limited. We don't vacation often, but we do spend a significant amount of time binge-watching the latest NETFLIX shows and watching movies. Our favorite shows are HOUSE OF CARDS and SIX FEET UNDER. We love cooking meals with one another despite the fact that neither of us are elaborate chefs. We love cooking spicy meals, and we are both very openminded about trying new foods. We have a handful of small lakes nearby that are open to the public, so when it's warm enough, we like to take our canoe out. Sometimes we use the canoe to fish, and other times we just relax on the water. Andy really enjoys reading, and I like to spend time browsing the internet, catching up on the latest news. We are a laidback couple who appreciates humor, companionship, and affection. If staying in our home, one can expect friendly conversation with a respect for privacy, cleanliness, and a cozy, intimate atmosphere.",6,6,5,5,6,6,6,6
1,No,1,I did not find the feedback to be very helpful but it wasn't annoying.,"I love cooking, gardening, diy projects, tech, and my dog. I am pretty laid back and enjoy helping others. I was born and raised here so I know the area like the back of my hand.","I love cooking, gardening, diy projects, tech, and my dog. I am pretty laid back and enjoy helping others. I was born and raised here so I know the area like the back of my hand.",4.5,5.5,5.5,5,4.5,5.5,5.5,5
4,No,2,"I wasn't quite clear on what the bio was supposed to accomplish, and telling me to use ""we"" when I live alone is a bit bizarre. ","I'm a 40-year-old woman living in New York City. I have a regular day job in an office and a very active hobby going to see live jazz (I'd love to recommend some shows for you while you're in town, if you're interested!). My favorite local food is pizza by the slice.","I'm a 40-year-old woman living in New York City. I have a regular day job in an office and a very active hobby going to see live jazz (I'd love to recommend some shows for you while you're in town, if you're interested!). My favorite local food is pizza by the slice.   We love having people visit from all over the world. When we travel we love to meet new people and I hope to help you do the same when you're visiting us in Harlem.",4,4,5,4,4,5,5,5
4,Yes,5,The interface was clear and provided what it was looking for in a bio.,"Hello! I am Ken, I am enjoy traveling, good food, friends, family and music. I am an avid traveler and have provided from the AirBnb service before, I have met interesting anf fun people while traveling and using AirBnb. I am a vacation time and holiday traveler, I do my traveling during those times of the year. My favorite destinations have been along the mediterranean, I love the people, the food and the culture of those countries. I have experienced what good hospitality during my vacation time using AirBnb, now I would like to pay it forward and offer my home to make your trip as cozy and relaxing as possible. Like I always say, make todays so awesome that tommorow is jealous, I hope to meet and greet you fellow adventurers!.","Hello! I am Ken, I am enjoy traveling, good food, friends, family and music. I am an avid traveler and have provided from the AirBnb service before, I have met interesting anf fun people while traveling and using AirBnb. I am a vacation time and holiday traveler, I do my traveling during those times of the year. My favorite destinations have been along the mediterranean, I love the people, the food and the culture of those countries. I have experienced what good hospitality during my vacation time using AirBnb, now I would like to pay it forward and offer my home to make your trip as cozy and relaxing as possible. Like I always say, make todays so awesome that tommorow is jealous, I hope to meet and greet you fellow adventurers!",5,6.5,6.5,5.5,5,6.5,6.5,6
4,No,1,The feedback helped me a little but I don't think it added much meaning.,"Thank you for considering a stay with me. As they say, mi casa es su casa.   I like animals and am receptive to a housetrained animal accompanying you on your stay.   I'm also pretty easy going, if you're the type who's looking for a quiet place to stay for your night in town, that's great. If you're looking for a higher energy place to come back to after your night out on the town, that's great too.   I can provide recommendations of things to do/places to go in the area, or I'm equally happy letting you figure out the town for yourself.  If you have any questions or would like to talk to references, please don't hesitate to ask! I look forward to hearing from you and hope you have a great stay!","Thank you for considering a stay with me. As they say, mi casa es su casa.   I like animals and am receptive to a housetrained animal accompanying you on your stay.   I'm also pretty easy going, if you're the type who's looking for a quiet place to stay for your night in town, that's great. If you're looking for a higher energy place to come back to after your night out on the town, that's great too.   I can provide recommendations of things to do/places to go in the area, or I'm equally happy letting you figure out the town for yourself.  If you have any questions or would like to talk to references, please don't hesitate to ask!   Whether you're traveling alone or with friends, across the state or across the country, I look forward to hearing from you and hope you have a great stay!",5,6,6,6,6,7,6,7
4,No,1,I felt there was nothing I could add,"We are a middle age couple that like interacting with people. We are interested in renting out our 2nd bedroom to a kind, trusting person. We no longer have use for this bedroom and hope that it can bring us a little extra income.  We do have pets (3 cats) but I can assure you that they won't have access to this bedroom. They are elderly and try to sleep most of the time.  We love music as long as it is kept at a reasonable level, and wouldn't mind sharing our kitchen.  You will have a bathroom of your own.  We are stay at home people, enjoying the comforts of our home and time together.  We rarely have guests so you won't be disturbed by them.","We are a middle age couple that like interacting with people. We are interested in renting out our 2nd bedroom to a kind, trusting person. We no longer have use for this bedroom and hope that it can bring us a little extra income.  We do have pets (3 cats) but I can assure you that they won't have access to this bedroom. They are elderly and try to sleep most of the time.  We love music as long as it is kept at a reasonable level, and wouldn't mind sharing our kitchen.  You will have a bathroom of your own, but it is not connected to the bedroom.  We are stay at home people, enjoying the comforts of our home and time together.  We rarely have guests so you won't be disturbed by them. My husband is a political fan, so if you are interested in discussing politics, he is your guy.",3,4,5,4,3,3,6,5
4,No,3,It gave me logical suggestions.,"Hi! I'm Liam from Montclair, NJ and I currently live in Evanston, IL where I went to school. Before you stay in my place, you should get to know me a little bit. I am a huge fan of hiking and prefer travel destinations where I can spend all day trekking up and down hills and mountains. It's a great change from the prairies of Illinois. I'm a big basketball fan and like to go to NBA games in lots of different cities. I think there are only 10 arenas I haven't been to but that's constantly changing as I travel more. I also am an investor and believer in early retirement. Basically, I like to invest most of what I earn so I can spend the rest of my life traveling and enjoying new experiences! I love going to concerts and try to immerse myself in the local culture when I travel.  \tNow that you know a bit about me I should tell you my method of hosting. You can see as little or as much of me as you like. Our interactions can end as soon as I drop off the keys to my place or you can text me anytime you need something. This mirrors how I travel. Sometimes, I'm traveling for business and I'm locked into my work and prefer not to be bothered. When I travel for leisure I like to seek out advice and try to build relationships with hosts and local people.      Now that you know a little about me and what your stay could be like, I hope you decide to rent out my apartment!","Hi! I'm Liam from Montclair, NJ and I currently live in Evanston, IL where I went to school. Before you stay in my place, you should get to know me a little bit. I am a huge fan of hiking and prefer travel destinations where I can spend all day trekking up and down hills and mountains. It's a great change from the prairies of Illinois. I'm a big basketball fan and like to go to NBA games in lots of different cities. I think there are only 10 arenas I haven't been to but that's constantly changing as I travel more. I also am an investor and believer in early retirement. Basically, I like to invest most of what I earn so I can spend the rest of my life traveling and enjoying new experiences! I love going to concerts and try to immerse myself in the local culture when I travel.  \tNow that you know a bit about me I should tell you my method of hosting. You can see as little or as much of me as you like. Our interactions can end as soon as I drop off the keys to my place or you can text me anytime you need something. This mirrors how I travel. Sometimes, I'm traveling for business and I'm locked into my work and prefer not to be bothered. When I travel for leisure I like to seek out advice and try to build relationships with hosts and local people.      Now that you know a little about me and what your stay could be like, I hope you decide to rent out my apartment!",6,6.333333,6.666667,6.666667,6,6.333333,6.666667,6.666667
2,No,1,It seemed like a random response by a computer. ,"Greetings! Thank you for visiting my bio and my home. I live in a 3 bedroom, 2 bathroom single story home in a nice quiet neighborhood. 5 things that I can't live without are my dog, videogames, books, ecig and rowing machine. I enjoy traveling to places near water or places out in nature. I like sci fi books and movies. I enjoy all kind of music and food.   Having me as a host is a dream. I would check in and see if theres anything I could do to make your stay more pleasurable. But I can be pretty hands off as well if you prefer. My style of traveling is to research the area before getting there but also leaving room for exploring. My life motto would be to do the best you can with what you have.","Greetings! Thank you for visiting my bio and my home. I live in a 3 bedroom, 2 bathroom single story home in a nice quiet neighborhood. 5 things that I can't live without are my dog, videogames, books, ecig and rowing machine. I enjoy traveling to places near water or places out in nature. I like sci fi books and movies. I enjoy all kind of music and food.   Having me as a host is a dream. I would check in and see if theres anything I could do to make your stay more pleasurable. But I can be pretty hands off as well if you prefer. My style of traveling is to research the area before getting there but also leaving room for exploring. My life motto would be to do the best you can with what you have.",5.5,6,5,5.5,5.5,6,5,5.5
2,No,3,"It helped some, but I felt that it was not quite specific enough.  I changed what I thought it referred to, but the suggestions for the revisions were pretty much the same.","Outdoor enthusiast, friendly, courteous, would love to have others enjoy the atmosphere of our state!","I am a friendly, courteous, outdoor enthusiast!  I would love to have the chance to help others enjoy the atmosphere of our state!",3,4,4,4,3,4,4,4
