Condition,"Before today, have you ever written an online product review?",What laptop model/type did you write your review about? (Please be as specific as possible),How often do you read user reviews when shopping online?,Qualitative,Pre-Feedback,Post-Feedback,Pre-Feedback Review Informativeness,Pre-Feedback Review Subjectivity,Pre-Feedback Review Writing Clarity,Pre-Feedback Overall Quality (Holistic),Post-Feedback Review Informativeness,Post-Feedback Review Subjectivity,Post-Feedback Review Writing Clarity,Post-Feedback Review Overall Quality (Holistic)
2,No,mac book pro,6,I loved how it told me specifically what to included in my review,"The Laptop I curretly own is a Mac Book Pro. In all honesty everything in my house is Apple branded. I love apple and everything about them. The only thing different I wish Apple did was make the keys more distinctive because with them being so thin I tend to click the wrong letter a lot. Other than that Mac Book Pros are amazing. They're thin which makes them more convenient when you're ready to pack them up and slip them into your backpack or roller case. They are a bit on the more expensive side, but they're worth every dime you put into them. I buy everything on warranty because, after all, it is still an electronic and anything can happen. It's soft, smooth and loving. I treat it like a newborn baby because due to them being so thin, that puts them more at risk for cracking or breaking on the first drop (just like the phones). Any how, as I stated before, Apple is the number one brand in my eyes, so I give them my biggest, most genuine recommendation.","The Laptop I curretly own is a Mac Book Pro. In all honesty everything in my house is Apple branded. I love apple and everything about them. The only thing different I wish Apple did was make the keys more distinctive because with them being so thin I tend to click the wrong letter a lot. Other than that Mac Book Pros are amazing. They're thin which makes them more convenient when you're ready to pack them up and slip them into your backpack or roller case. They are a bit on the more expensive side, but they're worth every dime you put into them. I buy everything on warranty because, after all, it is still an electronic and anything can happen. It's soft, smooth and loving. I treat it like a newborn baby because due to them being so thin, that puts them more at risk for cracking or breaking on the first drop (just like the phones). Any how, as I stated before, Apple is the number one brand in my eyes, so I give them my biggest, most genuine recommendation.",2,2.5,5,2.5,2,2.5,5,2.5
3,Yes,Toshiba Satellite C75D-B,6,"I appreciated the feedback, it gave me specific points to elaborate or improve on.","This is a review of the Toshiba Satellite C75D-B with a 64-bit operating system and AMD A8 graphics card.  I've owned this computer for about two years now, it has served me well for my uses but it does have its limitations. It has a very low RAM so while I feel that it runs quickly  and performs well for basic internet use and running basic programs, it's not made for gaming. In fact, I cannot install many basic RPG games because of its low RAM and video editing software is only very basic because it can't handle very much at one time.  I use this laptop primarily for surfing the internet, social media, writing, and other basic household functions. I really like it for these things. I prefer to use a different computer when playing games or doing graphic design work.  This is a medium weight laptop, so it's good for travel and not hard to carry around. The sound quality through the speakers is quite good but the built in webcam is not great quality.","This is a review of the Toshiba Satellite C75D-B with a 64-bit operating system and AMD A8 graphics card.  I've owned this computer for about two years now, it has served me well for my uses but it does have its limitations. It has a very low RAM so while I feel that it runs quickly  and performs well for basic internet use and running basic programs, it's not made for gaming. In fact, I cannot install many basic RPG games because of its low RAM and video editing software is only very basic because it can't handle very much at one time.  I use this laptop primarily for surfing the internet, social media, writing, and other basic household functions. I really like it for these things. I prefer to use a different computer when playing games or doing graphic design work.  This is a medium weight laptop and easily portable so it's good for travel and not hard to carry around. The audio quality through the speakers is quite good but the built in webcam is not great quality. The keyboard is very comfortable and the track pad works well and has two buttons. The track pad is clickable and this feature works very well.   I use this laptop on a wireless network and have never experienced issues with it if the laptop is nearby to the wireless router, but if I use it around 40 or more feet from the router, it gets very slow. This is most likely an issue with the laptop, not the router, as we've tested other laptops and they've not experienced this slow down.   The visual quality is great, the screen is bright but can be dimmed for battery use to save energy. There are 3 USB ports, an HDMI port, a CD/DVD rom drive. Customer support can be found on the Toshiba website, however I haven't used it.  Overall it's a very attractive laptop with high functionality for basic computer use.",4,5.5,5,4.5,5,5,5,5
1,Yes,Dell Inspiron 14,7,It didn't specify a segment but what was provided was very informative.,"The laptop I own is a Dell Inspiron 14, I have owned it for two years now and I couldn't be happier with it. The screen is plenty big enough for what I use it for and in most of the laptop's that I've ever owned the internal mouse goes out after about a year but this one has not. I really like the sleek design of it. The price was very cheap compared to most laptops as I got it for right around $250. Some of the things that I don't like about it is the keyboard as it is smaller than most laptops and thus harder to type on, I also think it would be nice for the keys to light up at night but that isn't a big bother because I know how to type without looking that would only be helpful for the number keys and such. The webcam has a pretty clear picture and is ideal for services such as skype. At 32 gigabytes the hard drive has a lot of memory for the price I paid for this laptop all in all I would give it a 4 out of 5 rating due to the aforementioned problems I have with owning this laptop.","The laptop I own is a Dell Inspiron 14, I have owned it for two years now and I couldn't be happier with it. The screen is plenty big enough for what I use it for and in most of the laptop's that I've ever owned the internal mouse goes out after about a year but this one has not. I really like the sleek design of it. The price was very cheap compared to most laptops as I got it for right around $250. Some of the things that I don't like about it is the keyboard as it is smaller than most laptops and thus harder to type on, I also think it would be nice for the keys to light up at night but that isn't a big bother because I know how to type without looking that would only be helpful for the number keys and such. The webcam has a pretty clear picture and is ideal for services such as Skype. At 32 gigabytes the hard drive has a lot of memory for the price I paid for this laptop. This product is the most bang for your buck but it's all about what you want in a laptop I wouldn't recommend it for gaming use as it doesn't have the capacity to be used for that this would be better suited for a college student, but all in all I would give it a 4 out of 5 rating due to the aforementioned problems I have with owning this laptop.",3,5.5,4.5,4,3,6,4.5,4.5
2,Yes,Toshiba Satellite L655-S5096,5,I did my best and wrote my honest review of my laptop that i am using.,It is a Toshiba Satellite l655-S5096 model number it has a Intel Pentium Processor P6100 @2.00GHz i bought it at best buy like 4 years ago for like 600 dollars. It has a 15.6 inch screen and comes with windows 7 Home Premium installed and fully loaded.It has 3gb of ram but you can upgrade if you choose to do so.,It is a Toshiba Satellite l655-S5096 model number it has a Intel Pentium Processor P6100 @2.00GHz i bought it at best buy like 4 years ago for like 600 dollars. It has a 15.6 inch screen and comes with windows 7 Home Premium installed and fully loaded.It has 3gb of ram but you can upgrade if you choose to do so. Overall not a bad laptop and will last a long time if you take care of it.,3,2.5,5,2.5,3.5,3,5,2.5
3,Yes,Lenovo g50,5,Gave me ideas ,I bought a Lenovo g50 laptop off Amazon. It came with 4 gb of ram and has an AMD A8 processor with R5 Graphics. It ran very smoothly but with limited ram I could only have a few things open at a time. I eventually added 4 gb of ram giving it 8 gb of ram total and that seemed to do the trick. It has lasted me for a while now with no problems. Great laptop for the price.,I bought a Lenovo g50 laptop off Amazon. It came with 4 gb of ram and has an AMD A8 processor with R5 Graphics. It ran very smoothly but with limited ram I could only have a few things open at a time. I eventually added 4 gb of ram giving it 8 gb of ram total and that seemed to do the trick. It has lasted me for a while now with no problems. Great laptop for the price.,3.5,2.5,5,3.5,3.5,2.5,5,3.5
3,Yes,Asus Transformer T100,3,The information helped guide me.,"The Asus Transformer T100 is a fairly low-cost 10-inch Windows 8 tablet that can also function as a laptop thanks to its detachable keyboard. This isn\u2019t a true laptop replacement thanks to its relatively low-power Atom processor, but it is a great-value, flexible device. It can be used as a tablet on the go with full touch screen, but it can also be connected to a portable keyboard to work just like a laptop.  If you're looking for a laptop that can handle high end graphics and powerful software, the Transformer T100 is not it. It's low power processor is good for web browsing and basic software programs. It is a bit more powerful than the average tablet, but has nowhere near the computing power of a full sized laptop. For the price, it's a great deal and the flexibility is extremely useful.  The Asus Transformer T100 is a tablet that leaves out fancy features in favor of flexibility. If a tablet-laptop Windows 8 hybrid is what you\u2019re after, you can\u2019t do any better at the price.","The Asus Transformer T100 is a fairly low-cost 10-inch Windows 8 tablet that can also function as a laptop thanks to its detachable keyboard. This isn\u2019t a true laptop replacement thanks to its relatively low-power Atom processor, but it is a great-value, flexible device. It can be used as a tablet on the go with full touch screen, but it can also be connected to a portable keyboard to work just like a laptop.  If you're looking for a laptop that can handle high end graphics and powerful software, the Transformer T100 is not it. It's low power processor is good for web browsing and basic software programs. It is a bit more powerful than the average tablet, but has nowhere near the computing power of a full sized laptop. For the price, it's a great deal and the flexibility is extremely useful.  The Asus Transformer T100 is a tablet that leaves out fancy features in favor of flexibility. If a tablet-laptop Windows 8 hybrid is what you\u2019re after, you can\u2019t do any better at the price.",3.5,5,5,4.5,3.5,5,5,4.5
3,Yes,Acer Aspire V3-572G-543S,5,There was very little feedback. Nothing that was provided influenced me to alter my review in any way.,"The Acer Aspire 15.6-Inch Gaming Laptop (V3-572G-543S)(hereafter V3) is a good machine for the buyer who wants to maximize the technical specifications of his or her laptop at a sub-$500 price point. The trade-off is the absence of most of the frills and quality-of-life benefits that one might otherwise like.  The V3 is billed as a ""gaming"" machine and fits the bill in a broad sense. The i5-5200U is a ULV (ultra low voltage) processor that provides a decent amount of power: 2.2Ghz speed and Intel hyper-threading technology. The dedicated Nvidia 940M graphics card is probably the lowest spec card that can justifiably be called a gaming card. With these specs, the machine can play less demanding games like MOBAs and Blizzard products, as well as mainstream games from a few years back, but isn't suitable for more graphically demanding games like, e.g. the Witcher 3 or Dragon Age Inquisition.  The 1080p screen is somewhat rare at this price point and on a screen (15.6"") of this size, and is something of a blessing and a curse. A blessing because the larger resolution is great for productivity; a curse because it's unlikely that you'll be able to run newer games at a 1080p resolution. Running them at a lower resolution on a 1080p screen will make them look slightly 'off.' The included 8GB of RAM is satisfactory.                                       These are the main specifications you're paying for when you buy this computer. You're also paying for the trade-offs. First, the machine comes with a generously large but abysmally slow 1TB 5400rpm HD, which isn't really suitable for gaming and is even on the slow side for general producitivity purposes, especially if you're used to an SSD. (You can swap out the HDD for a SSD, but it's not easy on this model. It requires complete disassembly of the machine.) The 15.6"" 1080p screen is a TN panel, typical of Acer's budget standalone panels, and has fairly poor color reproduction and bad viewing angles: don't use this unless you're sitting right in front of it! The touchpad is both finicky and a bit hard to use, and best avoided entirely in favor of a mouse or trackball. The keyboard is very responsive and comfortable, but has no lights for number, scroll and caps lock. There is also no 'physical' on/off button: it's just another key on the keyboard.                                                                    The bottom line is that this is, technology-wise, one of the best productivity/light gaming laptops at this price. Just know in advance what you're giving up to meet that price point, and whether you'd like to spend $100-200 more for superior ergonomics.","The Acer Aspire 15.6-Inch Gaming Laptop (V3-572G-543S)(hereafter V3) is a good machine for the buyer who wants to maximize the technical specifications of his or her laptop at a sub-$500 price point. The trade-off is the absence of most of the frills and quality-of-life benefits that one might otherwise like.  The V3 is billed as a ""gaming"" machine and fits the bill in a broad sense. The i5-5200U is a ULV (ultra low voltage) processor that provides a decent amount of power: 2.2Ghz speed and Intel hyper-threading technology. The dedicated Nvidia 940M graphics card is probably the lowest spec card that can justifiably be called a gaming card. With these specs, the machine can play less demanding games like MOBAs and Blizzard products, as well as mainstream games from a few years back, but isn't suitable for more graphically demanding games like, e.g. the Witcher 3 or Dragon Age Inquisition.  The 1080p screen is somewhat rare at this price point and on a screen (15.6"") of this size, and is something of a blessing and a curse. A blessing because the larger resolution is great for productivity; a curse because it's unlikely that you'll be able to run newer games at a 1080p resolution. Running them at a lower resolution on a 1080p screen will make them look slightly 'off.' The included 8GB of RAM is satisfactory.                                       These are the main specifications you're paying for when you buy this computer. You're also paying for the trade-offs. First, the machine comes with a generously large but abysmally slow 1TB 5400rpm HD, which isn't really suitable for gaming and is even on the slow side for general producitivity purposes, especially if you're used to an SSD. (You can swap out the HDD for a SSD, but it's not easy on this model. It requires complete disassembly of the machine.) The 15.6"" 1080p screen is a TN panel, typical of Acer's budget standalone panels, and has fairly poor color reproduction and bad viewing angles: don't use this unless you're sitting right in front of it! The touchpad is both finicky and a bit hard to use, and best avoided entirely in favor of a mouse or trackball. The keyboard is very responsive and comfortable, but has no lights for number, scroll and caps lock. There is also no 'physical' on/off button: it's just another key on the keyboard.                                                                    The bottom line is that this is, technology-wise, one of the best productivity/light gaming laptops at this price. Just know in advance what you're giving up to meet that price point, and whether you'd like to spend $100-200 more for superior ergonomics.",6.5,7,6.5,6.5,6.5,7,6.5,7
2,Yes,MSI GX740,7,"Telling me ""don't be as helpful"" is, obviously, not helpful. That's the only thing it said: be less specific, i.e. don't write as much. ","This is a review of the MSI GX740, which, at the time, was a *very* solid laptop. Of course, that time was 5 years ago - now it would not be considered particularly impressive - but it is still perfectly respectable, even now. When it came out, it could handle most new games with near-top graphics settings; now you'd probably have to go more towards the bottom, but it probably could still *run* them, especially if you added a bit of extra ram.  It has a 16:10 screen - one of the last laptops that did - so I'm not giving it up until I absolutely have to (though, sadly, it only supports 1680x1050, not 1600x1200). Its screen is also quite good quality, color-wise, as is, compared to other laptops I've tried, the internal speaker sound. Its keyboard is excellent - it includes all the keys you might want, including a full keypad, though a couple keys are in weird places (but you can rearrange them with autohotkey or equivalent) - as is the trackpad. It also includes a full range of customizeable special keys above the keyboard.  More than anything else, though, I'm happily impressed with its *longevity*. Good thing, too, since as I mentioned, its 16:10 screen is irreplaceable - this laptop has lasted the *longest* of any laptop I've had - every other laptop (I've had several Fujitsus and one HP) has started breaking down in essential and unfixable ways within about 4 years of buying it - this one is over 5 years old, and the only thing that's stopped working that I couldn't easily fix was the dvd drive (which I hardly ever use anyway).","This is a review of the MSI GX740, which, at the time, was a *very* solid laptop. Of course, that time was 5 years ago - now it would not be considered particularly impressive - but it is still perfectly respectable, even now. When it came out, it could handle most new games with near-top graphics settings; now you'd probably have to go more towards the bottom, but it probably could still *run* them, especially if you added a bit of extra ram.  It has a 16:10 screen - one of the last laptops that did - so I'm not giving it up until I absolutely have to (though, sadly, it only supports 1680x1050, not 1600x1200). Its screen is also quite good quality, color-wise, as is, compared to other laptops I've tried, the internal speaker sound. Its keyboard is excellent - it includes all the keys you might want, including a full keypad, though a couple keys are in weird places (but you can rearrange them with autohotkey or equivalent) - as is the trackpad. It also includes a full range of customizeable special keys above the keyboard.  More than anything else, though, I'm happily impressed with its *longevity*. Good thing, too, since as I mentioned, its 16:10 screen is irreplaceable - this laptop has lasted the *longest* of any laptop I've had - every other laptop (I've had several Fujitsus and one HP) has started breaking down in essential and unfixable ways within about 4 years of buying it - this one is over 5 years old, and the only thing that's stopped working that I couldn't easily fix was the dvd drive (which I hardly ever use anyway).",4.5,5.5,5,5,4.5,5.5,5,5
2,Yes,Dell Inspiron 15-5000,6,Instructions were clear and very to the point.,"The screen resolution is that of an Apple computer, very clear and vibrant. However, I was disapointed at how long it takes to load things (webpages, different apps, etc). I had high hopes for a speedier processor. I was also hoping that the keyboard would have a 10 key number pad, but it only has the numbers that go across the top (but that is a personal thing). The screen responds very well to touch, even with a screen protector on it. Note: This laptop does NOT come with a DVD/CD drive, you will have to purchase that seperatley, which makes me nervous as a student because I do not know if I will need to have CDs/DVDs for my classes. Overall, I highly recommend this computer. It does its job and easy to transport around.","The screen resolution is that of an Apple computer, very clear and vibrant. However, I was disapointed at how long it takes to load things (webpages, different apps, etc). I had high hopes for a speedier processor. I was also hoping that the keyboard would have a 10 key number pad, but it only has the numbers that go across the top (but that is a personal thing). The screen responds very well to touch, even with a screen protector on it. Note: This laptop does NOT come with a DVD/CD drive, you will have to purchase that seperatley, which makes me nervous as a student because I do not know if I will need to have CDs/DVDs for my classes. Overall, I highly recommend this computer. It does its job and easy to transport around.",2.5,3.5,4.5,3,2.5,3.5,4.5,3.5
4,Yes,Lenovo G50 45,7,Initially it seemed interesting but even after editing with the recommendations nothing changed when I resubmitted.  I found that annoying.,When I purchased my Lenovo G-50 45 it came with an installation of Windows 8.  I am not a fan and installed a linux distro.  Not sure if it was related to this particular distro but I had to disable UEFI and run legacy boot in the BIOS.  I would say this laptop is durable.  I keep it in a backpack in a dedicated laptop section while cycling.  On two occasions I had cars pull in front of me and hit the pavement.  I landed on the end during one them breaking the mounting screw.  Despite this the laptop still works well.  In general there are no overheating issues.  Battery life is not great so if you are unable to plug it in often this could be an issue.  Overall a good laptop though be advised I have heard newer models will not run an OS other than Windows.,When I purchased my Lenovo G-50 45 it came with an installation of Windows 8.  I am not a fan and installed a linux distro.  Not sure if it was related to this particular distro but I had to disable UEFI and run legacy boot in the BIOS. It is a sold brushed black interior that is muted but nice. The keyboard could be better as I wish it was a bit more responsive. I would say this laptop is durable.  I keep it in a backpack in a dedicated laptop section while cycling.  On two occasions I had cars pull in front of me and hit the pavement.  I landed on the end during one them breaking the mounting screw.  Despite this the laptop still works well.  In general there are no overheating issues.  Battery life is not great so if you are unable to plug it in often this could be an issue. This laptop has a large enough screen so I have enough real estate to run multiple windows.  It is a bit heavy but not enough to be a nuisance.  Audio is nothing special but servicable. The wifi picks up most signals though I notice it receives a slightly weaker signal than any of my other devices.  Overall a good laptop though be advised I have heard newer models will not run an OS other than Windows.,2,3.5,4,3,4,4.5,4,4.5
1,Yes,Dell 15-7559,7,the laptop was very new so there was not a lot of information at the time i bought it,"Dell 15-7559 First off, this has to be one of the most undervalued laptops I have owned. I bought it for well under the $749.99 price (Dell has a black friday sale) and I got it on that Monday (wow). Upon first unboxing, I noticed that it was far lighter than my last laptop from Dell, and that the keyboard was quite different with the new chiclet style keys. The screen is nice and bright with no glare on it. The power adapter is totally different for this model and much smaller. Days later I noticed, sadly, that it gets much warmer than the adapter I had with my prior Dell. The hard drive was much larger than I ordered, which was a nice surprise. The only drawback I had at first was the webcam did not want to work. But this was solved by going on the Dell site and downloading new drivers and software (seemed like it wasnt installeda t the warehouse, no big deal). All in all this laptop does much more than i expected and for far less than one would pay for a higher end consumer grade laptop. 8/10 for my rating","Dell 15-7559 First off, this has to be one of the most undervalued laptops I have owned. I bought it for well under the $749.99 price (Dell has a black friday sale) and I got it on that Monday (wow). Upon first unboxing, I noticed that it was far lighter than my last laptop from Dell, and that the keyboard was quite different with the new chiclet style keys. The screen is nice and bright with no glare on it. The power adapter is totally different for this model and much smaller. Days later I noticed, sadly, that it gets much warmer than the adapter I had with my prior Dell. The hard drive was much larger than I ordered, which was a nice surprise. The only drawback I had at first was the webcam did not want to work. But this was solved by going on the Dell site and downloading new drivers and software (seemed like it wasnt installeda t the warehouse, no big deal). All in all this laptop does much more than i expected and for far less than one would pay for a higher end consumer grade laptop. 8/10 for my rating",3.5,4.5,5,3.5,3.5,4.5,5,3.5
